 -------------------------------------------------------------------------------------------------------------------.
| SPELL NAME          | DURATION                      | APPLY TO            MODIFIER / FLAG                          |
|====================================================================================================================|
| armor               | 24                            | APPLY_AC           -20                                       |
| You are already armored.             | $N is already armored.               |                                      |
| You feel someone protecting you.     | $N is protected by your magic.       | (null)                               |
| You feel less armored.               | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| bless-char          | 6 + Lv                        | APPLY_HITROLL      Lv / 8                                    |
|                     |                               | APPLY_SAVING_SPELL 0 - Lv / 8                                |
| You are already blessed.             | $N already has divine favor.         |                                      |
| You feel righteous.                  | You grant $N the favor of your god.  | (null)                               |
| You feel less righteous.             | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| bless-object        | 6 + Lv                        | APPLY_SAVES        -1                                        |
|                     |                               | TO_OBJECT          ITEM_BLESS                                |
| (N/A)                                | $p is already blessed.               |                                      |
| (N/A)                                | (null)                               | $p glows with a holy aura.           |
| (N/A)                                | $p's holy aura fades.                |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| blindness           | 1 + Lv                        | APPLY_HITROLL      -4                                        |
|                     |                               | TO_AFFECTS         AFF_BLIND                                 |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You can see again.                   | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| calm                | Lv / 4                        | APPLY_DAMROLL      (IS_NPC (vch) ? -2 : -5)                  |
|                     |                               | APPLY_HITROLL      (IS_NPC (vch) ? -2 : -5)                  |
|                     |                               | TO_AFFECTS         AFF_CALM                                  |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You have lost your peace of mind.    | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| change_sex          | 2 * Lv                        | APPLY_SEX          (opposite)                                |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| Your body feels familiar again.      | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| charm_person        | number_fuzzy (Lv / 4)         | TO_AFFECTS         AFF_CHARM                                 |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You feel more self-confident.        | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| chill_touch         | 6                             | APPLY_STR          -1                                        |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You feel less cold.                  | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| curse-char          | 2 * Lv                        | APPLY_HITROLL      -1 * (Lv / 8)                             |
|                     |                               | APPLY_SAVING_SPELL Lv / 8                                    |
|                     |                               | TO_AFFECTS         AFF_CURSE                                 |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| The curse wears off.                 | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| curse-object        | 2 * Lv                        | APPLY_SAVES        1                                         |
|                     |                               | TO_OBJECT          ITEM_EVIL                                 |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| (null)                               | $p is no longer impure.              |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| detect_evil         | Lv                            | TO_AFFECTS         AFF_DETECT_EVIL                           |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| The red in your vision disappears.   | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| detect_good         | Lv                            | TO_AFFECTS         AFF_DETECT_GOOD                           |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| The gold in your vision disappears.  | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| detect_hidden       | Lv                            | TO_AFFECTS         AFF_DETECT_HIDDEN                         |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You feel less aware of your surroundings. | (null)                          |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| detect_invis        | Lv                            | TO_AFFECTS         AFF_DETECT_INVIS                          |
| <self already affected>              | <target already affected>            |                                      |
| <affected to-victim>                 | <affected to-caster>                 | <affected to room>                   |
| You no longer see invisible objects. | (null)                               |                                      |
|---------------------|-------------------------------|--------------------------------------------------------------|
| detect_magic        | Lv                            | TO_AFFECTS         AFF_DETECT_MAGIC                          |
